Row Labels,Days,HFRX Absolute Return Index,HFRX ED: Distressed Restructuring Index,HFRX ED: Merger Arbitrage Index,HFRX ED: Special Situations Index,HFRX EH: Equity Market Neutral Index,HFRX EH: Fundamental Growth Index,HFRX EH: Fundamental Value Index,HFRX Emerging Markets Composite Index,HFRX Equal Weighted Strategies CHF Index,HFRX Equal Weighted Strategies EUR Index
5/21/2012,35,99.62179872,98.59050072,99.50407018,98.52584051,97.82681099,96.4971161,98.51275464,98.88835938,98.86530104,98.87664824
5/22/2012,36,99.71345196,98.92250269,99.50802181,98.65355903,97.8091174,96.84345211,98.57220199,99.18182046,98.9098149,98.91814906
5/23/2012,37,99.67131254,98.96375142,99.50209436,98.57980608,97.90591174,96.81263691,98.24418,99.31575911,98.94299797,98.95116108
5/24/2012,38,99.54489428,98.90942383,99.51724229,98.42420536,98.14113239,96.80794764,98.55734016,99.10657403,98.92033636,98.93701307
5/25/2012,39,99.67447299,98.88427216,99.58903027,98.60678887,97.99958368,96.8447919,98.492585,99.12162332,98.96646892,98.9841731
5/29/2012,43,99.76191229,98.81485357,99.40264496,98.85323164,98.55328893,97.80341245,98.72612817,99.33732975,99.0733022,99.09358435
5/30/2012,44,99.76507274,98.74442891,99.25445876,98.56091813,98.60220649,97.17839989,98.35139754,99.1401841,98.99236789,99.00869631
5/31/2012,45,99.77350063,98.52410032,99.89594036,98.41071396,98.50749376,96.95197519,98.58069447,98.77448644,98.97941841,99.00398031
6/1/2012,46,99.63865449,98.39129954,99.62196054,97.81979097,98.00686928,95.47753505,97.85352597,98.0521207,98.65163447,98.67480334
6/4/2012,49,99.35632039,98.16392849,99.53304882,97.36288248,97.45108243,94.94898745,97.58813601,97.73658732,98.39345403,98.41825282
6/5/2012,50,99.40372723,98.06533396,99.79253932,97.52208091,97.26373855,95.39714758,97.52338086,98.11683263,98.41368761,98.48616325
6/6/2012,51,99.33103674,97.87518738,100.0276614,97.84317605,97.27102415,95.88148208,97.92571204,97.91717876,98.50433403,98.53238007
6/7/2012,52,99.48379213,97.82890832,99.95784926,97.88994621,97.71232306,96.10053793,98.38642902,98.05613384,98.55370396,98.5918017
